Event,5km,m
OC,774,00:12:54.0
5,0.6526,00:19:46.0
6,0.6899,00:18:42.0
7,0.725,00:17:48.0
8,0.7579,00:17:01.0
9,0.7886,00:16:21.0
10,0.8171,00:15:47.0
11,0.8434,00:15:18.0
12,0.8675,00:14:52.0
13,0.8894,00:14:30.0
14,0.9091,00:14:11.0
15,0.9266,00:13:55.0
16,0.9419,00:13:42.0
17,0.955,00:13:30.0
18,0.967,00:13:20.0
19,0.979,00:13:11.0
20,0.9893,00:13:02.0
21,0.9961,00:12:57.0
22,0.9996,00:12:54.0
23,1,00:12:54.0
24,1,00:12:54.0
25,1,00:12:54.0
26,1,00:12:54.0
27,1,00:12:54.0
28,0.9999,00:12:54.0
29,0.9991,00:12:55.0
30,0.9975,00:12:56.0
31,0.9952,00:12:58.0
32,0.9922,00:13:00.0
33,0.9885,00:13:03.0
34,0.984,00:13:07.0
35,0.9788,00:13:11.0
36,0.9729,00:13:16.0
37,0.9662,00:13:21.0
38,0.9592,00:13:27.0
39,0.9521,00:13:33.0
40,0.9451,00:13:39.0
41,0.938,00:13:45.0
42,0.931,00:13:51.0
43,0.924,00:13:58.0
44,0.9169,00:14:04.0
45,0.9099,00:14:11.0
46,0.9028,00:14:17.0
47,0.8958,00:14:24.0
48,0.8888,00:14:31.0
49,0.8817,00:14:38.0
50,0.8747,00:14:45.0
51,0.8676,00:14:52.0
52,0.8606,00:14:59.0
53,0.8536,00:15:07.0
54,0.8465,00:15:14.0
55,0.8395,00:15:22.0
56,0.8324,00:15:30.0
57,0.8254,00:15:38.0
58,0.8184,00:15:46.0
59,0.8113,00:15:54.0
60,0.8043,00:16:02.0
61,0.7972,00:16:11.0
62,0.7902,00:16:19.0
63,0.7832,00:16:28.0
64,0.7761,00:16:37.0
65,0.7691,00:16:46.0
66,0.762,00:16:56.0
67,0.755,00:17:05.0
68,0.7479,00:17:15.0
69,0.7402,00:17:26.0
70,0.7319,00:17:38.0
71,0.723,00:17:51.0
72,0.7134,00:18:05.0
73,0.7031,00:18:21.0
74,0.6923,00:18:38.0
75,0.6808,00:18:57.0
76,0.6687,00:19:17.0
77,0.6559,00:19:40.0
78,0.6425,00:20:05.0
79,0.6285,00:20:32.0
80,0.6138,00:21:01.0
81,0.5985,00:21:33.0
82,0.5825,00:22:09.0
83,0.566,00:22:47.0
84,0.5488,00:23:30.0
85,0.5309,00:24:18.0
86,0.5124,00:25:11.0
87,0.4933,00:26:09.0
88,0.4735,00:27:15.0
89,0.4531,00:28:28.0
90,0.4321,00:29:51.0
91,0.4104,00:31:26.0
92,0.3881,00:33:14.0
93,0.3652,00:35:19.0
94,0.3416,00:37:46.0
95,0.3174,00:40:39.0
96,0.2926,00:44:05.0
97,0.2671,00:48:18.0
98,0.2409,00:53:33.0
99,0.2142,01:00:13.0
100,0.1868,01:09:03.0
